day_of_year,estimated_pzd,food_respawn_rate
132,1.79386093,0.02143284
133,1.79539570,0.02145117
134,1.79693047,0.02146951
135,1.79846523,0.02148785
136,1.80000000,0.02150619
137,1.82343046,0.02178613
138,1.84686093,0.02206607
139,1.87029139,0.02234602
140,1.89372186,0.02262596
141,1.91715232,0.02290591
142,1.94058279,0.02318585
143,1.96401325,0.02346580
144,1.98744371,0.02374574
145,2.01087418,0.02402568
146,2.03430464,0.02430563
147,2.05773511,0.02458557
148,2.08116557,0.02486552
149,2.10459604,0.02514546
150,2.12802650,0.02542541
151,2.15145696,0.02570535
152,2.17488743,0.02598530
153,2.19831789,0.02626524
154,2.22174836,0.02654518
155,2.24517882,0.02682513
156,2.26860929,0.02710507
157,2.29203975,0.02738502
158,2.31547021,0.02766496
159,2.33890068,0.02794491
160,2.36233114,0.02822485
161,2.38576161,0.02850479
162,2.40919207,0.02878474
163,2.43262254,0.02906468
164,2.45605300,0.02934463
165,2.47948346,0.02962457
166,2.50291393,0.02990452
167,2.51778866,0.03008224
168,2.52410767,0.03015774
169,2.53042667,0.03023324
170,2.53674567,0.03030873
171,2.54306468,0.03038423
172,2.54938368,0.03045973
173,2.55570268,0.03053523
174,2.56202169,0.03061073
175,2.56834069,0.03068623
176,2.57465970,0.03076173
177,2.58097870,0.03083723
178,2.58729770,0.03091272
179,2.59361671,0.03098822
180,2.59993571,0.03106372
181,2.60625471,0.03113922
182,2.61257372,0.03121472
183,2.61889272,0.03129022
184,2.62521172,0.03136572
185,2.63153073,0.03144121
186,2.63784973,0.03151671
187,2.64416873,0.03159221
188,2.65048774,0.03166771
189,2.65680674,0.03174321
190,2.66312575,0.03181871
191,2.66944475,0.03189421
192,2.67576375,0.03196971
193,2.68208276,0.03204520
194,2.68840176,0.03212070
195,2.69472076,0.03219620
196,2.70103977,0.03227170
197,2.70735877,0.03234720
198,2.72802056,0.03259406
199,2.74868234,0.03284093
200,2.76934412,0.03308779
201,2.79000591,0.03333466
202,2.81066769,0.03358152
203,2.83132948,0.03382839
204,2.85199126,0.03407525
205,2.87265305,0.03432212
206,2.89331483,0.03456898
207,2.91397662,0.03481584
208,2.93463840,0.03506271
209,2.95530019,0.03530957
210,2.97596197,0.03555644
211,2.99662376,0.03580330
212,3.01728554,0.03605017
213,3.03794733,0.03629703
214,3.05860911,0.03654390
215,3.07927090,0.03679076
216,3.09993268,0.03703763
217,3.12059446,0.03728449
218,3.14125625,0.03753135
219,3.16191803,0.03777822
220,3.18257982,0.03802508
221,3.20324160,0.03827195
222,3.22390339,0.03851881
223,3.24456517,0.03876568
224,3.26522696,0.03901254
225,3.28588874,0.03925941
226,3.30655053,0.03950627
227,3.32721231,0.03975314
228,3.34787410,0.04000000
229,3.28670532,0.03926916
230,3.22553654,0.03853833
231,3.16436776,0.03780749
232,3.10319898,0.03707665
233,3.04203020,0.03634581
234,2.98086142,0.03561498
235,2.91969264,0.03488414
236,2.85852387,0.03415330
237,2.79735509,0.03342246
238,2.73618631,0.03269163
239,2.67501753,0.03196079
240,2.61384875,0.03122995
241,2.55267997,0.03049912
242,2.49151119,0.02976828
243,2.43034241,0.02903744
244,2.36917364,0.02830660
245,2.30800486,0.02757577
246,2.24683608,0.02684493
247,2.18566730,0.02611409
248,2.12449852,0.02538325
249,2.06332974,0.02465242
250,2.00216096,0.02392158
251,1.94099218,0.02319074
252,1.87982341,0.02245991
253,1.81865463,0.02172907
254,1.75748585,0.02099823
255,1.69631707,0.02026739
256,1.63514829,0.01953656
257,1.57397951,0.01880572
258,1.51281073,0.01807488
259,1.48001143,0.01768300
260,1.47558161,0.01763007
261,1.47115179,0.01757715
262,1.46672197,0.01752422
263,1.46229215,0.01747129
264,1.45786233,0.01741837
265,1.45343251,0.01736544
266,1.44900269,0.01731251
267,1.44457287,0.01725958
268,1.44014305,0.01720666
269,1.43571323,0.01715373
270,1.43128341,0.01710080
271,1.42685359,0.01704788
272,1.42242377,0.01699495
273,1.41799395,0.01694202
274,1.41356413,0.01688910
275,1.40913431,0.01683617
276,1.40470449,0.01678324
277,1.40027467,0.01673031
278,1.39584485,0.01667739
279,1.39141503,0.01662446
280,1.38698521,0.01657153
281,1.38255539,0.01651861
282,1.37812556,0.01646568
283,1.37369574,0.01641275
284,1.36926592,0.01635983
285,1.36483610,0.01630690
286,1.36040628,0.01625397
287,1.35597646,0.01620104
288,1.35154664,0.01614812
289,1.34711682,0.01609519
290,1.33573594,0.01595921
291,1.32435506,0.01582324
292,1.31297418,0.01568726
293,1.30159330,0.01555128
294,1.29021243,0.01541530
295,1.27883155,0.01527933
296,1.26745067,0.01514335
297,1.25606979,0.01500737
298,1.24468891,0.01487139
299,1.23330803,0.01473542
300,1.22192715,0.01459944
301,1.21054627,0.01446346
302,1.19916539,0.01432748
303,1.18778451,0.01419151
304,1.17640363,0.01405553
305,1.16502275,0.01391955
306,1.15364187,0.01378358
307,1.14226099,0.01364760
308,1.13088011,0.01351162
309,1.11949923,0.01337564
310,1.10811835,0.01323967
311,1.09673748,0.01310369
312,1.08535660,0.01296771
313,1.07397572,0.01283173
314,1.06259484,0.01269576
315,1.05121396,0.01255978
316,1.03983308,0.01242380
317,1.02845220,0.01228782
318,1.01707132,0.01215185
319,1.00569044,0.01201587
320,0.99917775,0.01193806
321,0.99753325,0.01191841
322,0.99588875,0.01189876
323,0.99424425,0.01187911
324,0.99259975,0.01185946
325,0.99095525,0.01183981
326,0.98931075,0.01182017
327,0.98766625,0.01180052
328,0.98602175,0.01178087
329,0.98437725,0.01176122
330,0.98273275,0.01174157
331,0.98108825,0.01172193
332,0.97944375,0.01170228
333,0.97779925,0.01168263
334,0.97615475,0.01166298
335,0.97451025,0.01164333
336,0.97286574,0.01162368
337,0.97122124,0.01160404
338,0.96957674,0.01158439
339,0.96793224,0.01156474
340,0.96628774,0.01154509
341,0.96464324,0.01152544
342,0.96299874,0.01150579
343,0.96135424,0.01148615
344,0.95970974,0.01146650
345,0.95806524,0.01144685
346,0.95642074,0.01142720
347,0.95477624,0.01140755
348,0.95313174,0.01138790
349,0.95148724,0.01136826
350,0.94984274,0.01134861
351,0.94939327,0.01134324
352,0.94894381,0.01133787
353,0.94849434,0.01133250
354,0.94804487,0.01132713
355,0.94759540,0.01132176
356,0.94714593,0.01131639
357,0.94669647,0.01131102
358,0.94624700,0.01130565
359,0.94579753,0.01130028
360,0.94534806,0.01129491
361,0.94489860,0.01128954
362,0.94444913,0.01128417
363,0.94399966,0.01127880
364,0.94355019,0.01127343
365,0.94310073,0.01126805
