day_of_year,estimated_pzd,food_respawn_rate
107,1.76743457,0.02111710
108,1.76879819,0.02113339
109,1.77004407,0.02114828
110,1.77118892,0.02116195
111,1.77224944,0.02117462
112,1.77324234,0.02118649
113,1.77418431,0.02119774
114,1.77509206,0.02120859
115,1.77598229,0.02121922
116,1.77687170,0.02122985
117,1.77777701,0.02124067
118,1.77871490,0.02125187
119,1.77970209,0.02126367
120,1.78075527,0.02127625
121,1.78189115,0.02128982
122,1.78312643,0.02130458
123,1.78447782,0.02132073
124,1.78596202,0.02133846
125,1.78759572,0.02135798
126,1.78939564,0.02137949
127,1.79137847,0.02140318
128,1.79356092,0.02142925
129,1.79595970,0.02145791
130,1.79859150,0.02148936
131,1.80188227,0.02152867
132,1.80821588,0.02160435
133,1.81779266,0.02171877
134,1.83039388,0.02186933
135,1.84580081,0.02205341
136,1.86379472,0.02226840
137,1.88415688,0.02251168
138,1.90666857,0.02278065
139,1.93111105,0.02307268
140,1.95726559,0.02338518
141,1.98491347,0.02371551
142,2.01383596,0.02406107
143,2.04381433,0.02441925
144,2.07462985,0.02478743
145,2.10606378,0.02516300
146,2.13789741,0.02554334
147,2.16991201,0.02592585
148,2.20188883,0.02630790
149,2.23360916,0.02668690
150,2.26485427,0.02706021
151,2.29540542,0.02742523
152,2.32504389,0.02777935
153,2.35355095,0.02811995
154,2.38070787,0.02844441
155,2.40629592,0.02875014
156,2.43009638,0.02903450
157,2.45189050,0.02929489
158,2.47145957,0.02952870
159,2.48858486,0.02973331
160,2.50304763,0.02990611
161,2.51462916,0.03004449
162,2.52430957,0.03016015
163,2.53325152,0.03026699
164,2.54151006,0.03036566
165,2.54914025,0.03045682
166,2.55619717,0.03054114
167,2.56273586,0.03061926
168,2.56881140,0.03069185
169,2.57447884,0.03075957
170,2.57979325,0.03082306
171,2.58480968,0.03088300
172,2.58958320,0.03094003
173,2.59416886,0.03099482
174,2.59862174,0.03104802
175,2.60299690,0.03110030
176,2.60734938,0.03115230
177,2.61173427,0.03120469
178,2.61620661,0.03125812
179,2.62082147,0.03131326
180,2.62563391,0.03137076
181,2.63069900,0.03143128
182,2.63607179,0.03149547
183,2.64180735,0.03156400
184,2.64796073,0.03163752
185,2.65458700,0.03171669
186,2.66174123,0.03180217
187,2.66947846,0.03189461
188,2.67785378,0.03199468
189,2.68692222,0.03210303
190,2.69673887,0.03222031
191,2.70735877,0.03234720
192,2.71942216,0.03249133
193,2.73352437,0.03265982
194,2.74965307,0.03285253
195,2.76779595,0.03306930
196,2.78794072,0.03330998
197,2.81007506,0.03357444
198,2.83418665,0.03386252
199,2.86026319,0.03417408
200,2.88829237,0.03450897
201,2.91826188,0.03486704
202,2.95015942,0.03524815
203,2.98397266,0.03565215
204,3.01968930,0.03607889
205,3.05729703,0.03652822
206,3.09678354,0.03700000
207,3.14699419,0.03759991
208,3.21323933,0.03839140
209,3.29020418,0.03931097
210,3.37257393,0.04029511
211,3.45503380,0.04128033
212,3.53226897,0.04220313
213,3.59896465,0.04300000
214,3.66521431,0.04379154
215,3.73341289,0.04460637
216,3.78669789,0.04524301
217,3.80820678,0.04550000
218,3.76619837,0.04499809
219,3.66376824,0.04377427
220,3.53630904,0.04225140
221,3.41921344,0.04085235
222,3.34787410,0.04000000
223,3.31509906,0.03960841
224,3.28907253,0.03929745
225,3.26825138,0.03904868
226,3.25109250,0.03884367
227,3.23605277,0.03866397
228,3.22158905,0.03849116
229,3.20615823,0.03830680
230,3.18821719,0.03809244
231,3.16622281,0.03782965
232,3.13863197,0.03750000
233,3.10349116,0.03708014
234,3.06048088,0.03656626
235,3.01050897,0.03596920
236,2.95448329,0.03529981
237,2.89331168,0.03456894
238,2.82790199,0.03378744
239,2.75916208,0.03296614
240,2.68799979,0.03211590
241,2.61532297,0.03124757
242,2.54203947,0.03037198
243,2.46905715,0.02950000
244,2.38696673,0.02851919
245,2.28895342,0.02734814
246,2.17981675,0.02604419
247,2.06435625,0.02466468
248,1.94737145,0.02326696
249,1.83366189,0.02190837
250,1.72802711,0.02064626
251,1.63526663,0.01953797
252,1.56017998,0.01864084
253,1.50756671,0.01801223
254,1.48222634,0.01770946
255,1.47255510,0.01759391
256,1.46371505,0.01748829
257,1.45565449,0.01739199
258,1.44832172,0.01730437
259,1.44166504,0.01722484
260,1.43563276,0.01715277
261,1.43017317,0.01708754
262,1.42523458,0.01702853
263,1.42076528,0.01697513
264,1.41671359,0.01692672
265,1.41302778,0.01688269
266,1.40965618,0.01684240
267,1.40654708,0.01680526
268,1.40364877,0.01677063
269,1.40090957,0.01673790
270,1.39827777,0.01670646
271,1.39570168,0.01667568
272,1.39312958,0.01664495
273,1.39050979,0.01661364
274,1.38779061,0.01658116
275,1.38492033,0.01654686
276,1.38184726,0.01651015
277,1.37851970,0.01647039
278,1.37488595,0.01642697
279,1.37089430,0.01637928
280,1.36649307,0.01632670
281,1.36163054,0.01626860
282,1.35625503,0.01620437
283,1.35031484,0.01613340
284,1.34368583,0.01605420
285,1.33593533,0.01596160
286,1.32707608,0.01585575
287,1.31719916,0.01573774
288,1.30639568,0.01560866
289,1.29475674,0.01546960
290,1.28237344,0.01532164
291,1.26933689,0.01516589
292,1.25573817,0.01500341
293,1.24166839,0.01483531
294,1.22721866,0.01466266
295,1.21248006,0.01448657
296,1.19754371,0.01430811
297,1.18250070,0.01412838
298,1.16744213,0.01394846
299,1.15245910,0.01376944
300,1.13764272,0.01359242
301,1.12308408,0.01341847
302,1.10887429,0.01324870
303,1.09510443,0.01308418
304,1.08186562,0.01292600
305,1.06924896,0.01277526
306,1.05734554,0.01263304
307,1.04624647,0.01250043
308,1.03604284,0.01237852
309,1.02682575,0.01226839
310,1.01868631,0.01217114
311,1.01171562,0.01208786
312,1.00600478,0.01201962
313,1.00164488,0.01196753
314,0.99857175,0.01193082
315,0.99590393,0.01189894
316,0.99347267,0.01186989
317,0.99125994,0.01184346
318,0.98924770,0.01181941
319,0.98741794,0.01179755
320,0.98575261,0.01177765
321,0.98423370,0.01175951
322,0.98284318,0.01174289
323,0.98156302,0.01172760
324,0.98037518,0.01171341
325,0.97926165,0.01170010
326,0.97820439,0.01168747
327,0.97718538,0.01167529
328,0.97618659,0.01166336
329,0.97518998,0.01165145
330,0.97417754,0.01163936
331,0.97313123,0.01162686
332,0.97203302,0.01161373
333,0.97086489,0.01159978
334,0.96960881,0.01158477
335,0.96824675,0.01156850
336,0.96676069,0.01155074
337,0.96513258,0.01153129
338,0.96334442,0.01150992
339,0.96137816,0.01148643
340,0.95921578,0.01146060
341,0.95683926,0.01143220
342,0.95423056,0.01140103
343,0.95137165,0.01136687
344,0.94800773,0.01132668
345,0.94279832,0.01126444
346,0.93573978,0.01118011
347,0.92707615,0.01107660
348,0.91705148,0.01095682
349,0.90590983,0.01082370
350,0.89389525,0.01068015
351,0.88125178,0.01052909
352,0.86822349,0.01037343
353,0.85505441,0.01021609
354,0.84198860,0.01005998
355,0.82927012,0.00990802
356,0.81714300,0.00976313
357,0.80585132,0.00962822
358,0.79563910,0.00950620
359,0.78675041,0.00940000
360,0.77884446,0.00930554
361,0.77138216,0.00921638
362,0.76431014,0.00913189
363,0.75757502,0.00905142
364,0.75112343,0.00897433
365,0.74490199,0.00890000
